白	1		bái	white	white; pure, unblemished; bright	しろ しろい もうす	ハク ビャク	[sound:agj-pinyin-bai2.mp3]	358
一	4		yī	one	one; a, an; alone	ひとつ ひとたび はじめ	イチ イツ	[sound:agj-pinyin-yi1.mp3]	5
勺	5		sháo	ladle	spoon, ladle; unit of volume	しゃく	シャク	[sound:agj-pinyin-shao2.mp3]	4643
的	6		de	bull's eye	possessive, adjectival suffix	まと あきらか	テキ	[sound:agj-pinyin-de1.mp3]	1
日	7		rì	day	sun; day; daytime	ひ か ひび	ニチ ジツ	[sound:agj-pinyin-ri4.mp3]	124
止	8		zhǐ	stop	stop, halt, desist; detain	とまる あし とめる	シ	[sound:agj-pinyin-zhi3.mp3]	765
正	9		zhèng	correct	right, proper, correct	ただしい まさ ただす	セイ ショウ	[sound:agj-pinyin-zheng4.mp3]	125
是	10		shì	be	indeed, yes, right; to be; demonstrative pronoun, this, that	これ この ここ	ゼ シ	[sound:agj-pinyin-shi4.mp3]	2
不	11		bù	no	no, not; un-; negative prefix	せず にあらず いなや	フ ブ フツ ヒ	[sound:agj-pinyin-bu4.mp3]	3
戈	14		gē	halberd	halberd, spear, lance; rad. 62	ほこ	カ	[sound:agj-pinyin-ge1.mp3]	2382
我	15		wǒ	I	our, us, i, me, my, we	われ わ	ガ	[sound:agj-pinyin-wo3.mp3]	4
月	16		yuè	month	moon; month; KangXi radical 74	つき	ゲツ ガツ	[sound:agj-pinyin-yue4.mp3]	214
又	17		yòu	again	and, also, again, in addition	また	ユウ	[sound:agj-pinyin-you4.mp3]	139
肉	18		ròu	meat	flesh; meat; KangXi radical 130	しし	ニク ジュウ	[sound:agj-pinyin-rou4.mp3]	900
有	19		yǒu	possess	have, own, possess; exist	ある もつ たもつ	ユウ ウ	[sound:agj-pinyin-you3.mp3]	6
人	20		rén	person	man; people; mankind; someone else	ひと	ジン ニン	[sound:agj-pinyin-ren2.mp3]	9
大	21		dà	large	big, great, vast, large, high	おおきい はじめ おおいに	タイ ダイ タ	[sound:agj-pinyin-da4.mp3]	7
十	24		shí	ten	ten, tenth; complete; perfect	とう とたび	ジュウ ジツ	[sound:agj-pinyin-shi2.mp3]	163
八	25		bā	eight	eight; all around, all sides	やつ やたび	ハチ ハツ	[sound:agj-pinyin-ba1.mp3]	419
小	30		xiǎo	small	small, tiny, insignificant	ちいさい こ お	ショウ	[sound:agj-pinyin-xiao3.mp3]	50
土	31		tǔ	soil	soil, earth; items made of earth	つち	ド ト	[sound:agj-pinyin-tu3.mp3]	674
刀	32		dāo	sword	knife; old coin; measure	かたな	トウ	[sound:agj-pinyin-dao1.mp3]	940
從	33	从	cóng	follow	from, by, since, whence, through	したがう したがって おう	ジュウ ショウ ジュ	[sound:agj-pinyin-cong2.mp3]	244
兒	37	儿	ér	youngster	son, child, oneself; final part	こ	ジ ニ ゲイ	[sound:agj-pinyin-er2.mp3]	418
免	39		miǎn	avoid	spare; excuse from; evade	まぬかれる ゆるす	メン ベン	[sound:agj-pinyin-mian3.mp3]	660
比	40		bǐ	compare	to compare, liken; comparison; than	くらべる ならぶ ならべる	ヒ	[sound:agj-pinyin-bi3.mp3]	136
兔	41		tù	rabbit	rabbit, hare	うさぎ	ト	[sound:agj-pinyin-tu4.mp3]	1874
才	43		cái	genius	talent, ability; just, only	わずかに ざえ	サイ ザイ	[sound:agj-pinyin-cai2.mp3]	172
在	44		zài	at	be at, in, on; consist in, rest	ある います	ザイ	[sound:agj-pinyin-zai4.mp3]	8
目	46		mù	eye	eye; look, see; division, topic	め まなこ さかん	モク ボク	[sound:agj-pinyin-mu4.mp3]	249
心	48		xīn	heart	heart; mind, intelligence; soul	こころ	シン	[sound:agj-pinyin-xin1.mp3]	68
匕	49		bǐ	ancient spoon	spoon, ladle; knife, dirk	さじ	ヒ	[sound:agj-pinyin-bi3.mp3]	3614
瞭	54		liǎo	comprehend	bright, clear; clear-sighted	あきらか	リョウ	[sound:agj-pinyin-liao3.mp3]	1389
了	55		le	(-ed)	to finish; particle of completed action	おわる ついに	リョウ	[sound:agj-pinyin-le1.mp3]	10
口	56		kǒu	mouth	mouth; open end; entrance, gate	くち	コウ ク	[sound:agj-pinyin-kou3.mp3]	404
中	57		zhōng	middle	central; center, middle; in the midst of; hit (target); attain	なか うち あたる	チュウ	[sound:agj-pinyin-zhong1.mp3]	11
至	58		zhì	until	reach, arrive; extremely, very	いたる いたり	シ	[sound:agj-pinyin-zhi4.mp3]	247
到	60		dào	arrive	go to, arrive, been to	いたる	トウ	[sound:agj-pinyin-dao4.mp3]	12
米	64		mǐ	rice	hulled or husked uncooked rice	こめ よね めえとる	ベイ マイ メ	[sound:agj-pinyin-mi3.mp3]	1154
田	67		tián	rice field	field, arable land, cultivated	た かり	デン テン	[sound:agj-pinyin-tian2.mp3]	769
火	72		huǒ	fire	fire, flame; burn; anger, rage	ひ やく	カ コ	[sound:agj-pinyin-huo3.mp3]	527
良	75		liáng	high-quality	good, virtuous, respectable	よい やや	リョウ	[sound:agj-pinyin-liang2.mp3]	780
二	77		èr	two	two; twice	ふたつ ふたたび	ニ ジ	[sound:agj-pinyin-er4.mp3]	133
貝	78	贝	bèi	shellfish	sea shell; money, currency	かい	バイ ハイ	[sound:agj-pinyin-bei4.mp3]	1228
矢	80		shǐ	dart	arrow, dart; vow, swear	や ちかう つらねる	シ	[sound:agj-pinyin-shi3.mp3]	2565
由	85		yóu	wherefore	cause, reason; from	よし よる より	ユウ ユ ユイ	[sound:agj-pinyin-you2.mp3]	236
疾	88		jí	rapid	illness, disease, sickness; to hate	やまい にくむ はやい	シツ	[sound:agj-pinyin-ji2.mp3]	2075
兀	89		wù		to cut off the feet	たかい はげる あしきる	コツ ゴツ	[sound:agj-pinyin-wu4.mp3]	3743
廿	91		niàn	twenty	twenty, twentieth	にじゅう	ジュウ ニュウ	[sound:agj-pinyin-nian4.mp3]	2503
郎	92		láng	young man	gentleman, young man; husband	おとこ	ロウ	[sound:agj-pinyin-lang2.mp3]	1175
光	93		guāng	ray	light, brilliant, shine; only	ひかる ひかり	コウ	[sound:agj-pinyin-guang1.mp3]	265
鄉	94	乡	xiāng	countryside	country; rural; village	さと ふるさと さきに	キョウ ゴウ	[sound:agj-pinyin-xiang1.mp3]	1011
卜	96		bo bǔ	divination	fortune telling; prophesy	うらなう うらない	ボク	[sound:agj-pinyin-bo1.mp3]	2199
黃	97	黄	huáng	yellow	yellow; surname	き	コウ オウ	[sound:agj-pinyin-huang2.mp3]	408
廣	101	广	guǎng	extensive	broad, wide, extensive	ひろい ひろば ひろめる	コウ	[sound:agj-pinyin-guang3.mp3]	669
嚮	102		xiàng		guide, direct; incline to, favor	むかう さきに	コウ キョウ	[sound:agj-pinyin-xiang4.mp3]	2639
向	105		xiàng	orientation	toward, direction, trend	むく むかう さきに	コウ キョウ ショウ	[sound:agj-pinyin-xiang4.mp3]	353
尚	107		shàng	esteem	still, yet; even; fairly, rather	くわえる たっとぶ ねがう	ショウ	[sound:agj-pinyin-shang4.mp3]	888
敞	108		chǎng	spacious	roomy, spacious, open, broad	たかい ほがらか	ショウ	[sound:agj-pinyin-chang3.mp3]	3031
廠	109	厂	chǎng	factory	factory, plant, workshop, mill	うまや	ショウ	[sound:agj-pinyin-chang3.mp3]	820
氣	112	气	qì	air	air, gas, steam, vapor; spirit	いき	キ ケ	[sound:agj-pinyin-qi4.mp3]	311
欠	113		qiàn	lack	owe, lack, be deficient; KangXi radical number 76	かける あくび	ケツ	[sound:agj-pinyin-qian4.mp3]	2056
次	114		cì	next	order, sequence; next	つぐ つぎ つぎに	ジ シ	[sound:agj-pinyin-ci4.mp3]	152
資	115	资	zī	assets	property; wealth; capital	もと	シ	[sound:agj-pinyin-zi1.mp3]	13
女	117		nǚ	woman	woman, girl; feminine; rad. 38	おんな め むすめ	ジョ ニョ ニョウ	[sound:agj-pinyin-nuu3.mp3]	143
要	119		yào	want	necessary, essential; necessity	いる もとめる かなめ	ヨウ	[sound:agj-pinyin-yao4.mp3]	14
以	122		yǐ	by means of	by means of; thereby, therefore; consider as; in order to	おもう ゆえに もって	イ	[sound:agj-pinyin-yi3.mp3]	15
丁	123		dīng	fourth	male adult; robust, vigorous; 4th heavenly stem	ひのと あたる よぼろ	テイ チョウ トウ	[sound:agj-pinyin-ding1.mp3]	1324
可	124		kě	can	may, can, -able; possibly	よい べし ばかり	カ コク	[sound:agj-pinyin-ke3.mp3]	16
立	128		lì	standing up	stand; let stand; establish, set	たつ たてる たちどころ	リツ リュウ	[sound:agj-pinyin-li4.mp3]	248
言	130		yán	say	words, speech; speak, say	こと いう ことば	ゲン ゴン ギン	[sound:agj-pinyin-yan2.mp3]	280
這	131	这	zhè	this	this, the, here	はう はい むかえる	ゲン シャ	[sound:agj-pinyin-zhe4.mp3]	17
古	133		gǔ	ancient	old, classic, ancient	ふるい いにしえ	コ	[sound:agj-pinyin-gu3.mp3]	626
固	134		gù	solid	to become solid, solidify; strength	かためる かため かたい	コ	[sound:agj-pinyin-gu4.mp3]	1332
個	135	个	gè	individual	numerary adjunct, piece; single	こ	コ カ	[sound:agj-pinyin-ge4.mp3]	18
巾	136		jīn	towel	kerchief; towel; turban; KangXi radical number 50	ふきん おおい はば	キン	[sound:agj-pinyin-jin1.mp3]	2978
五	137		wǔ	five	five; surname	いつつ	ゴ	[sound:agj-pinyin-wu3.mp3]	309
爾	143	尔	ěr	you (literary)	you; that, those; final particle	なんじ その しかり	ジ ニ	[sound:agj-pinyin-er3.mp3]	750
你	145		nǐ	you	you, second person pronoun	なんじ	ジ ニ	[sound:agj-pinyin-ni3.mp3]	19
曾	147		céng	formerly	already; sign of past	かって すなわち	ソ ソウ ゾウ	[sound:agj-pinyin-ceng2.mp3]	389
會	148	会	huì	meeting	to assemble, meet together; a meeting; an organization	あう	カイ エ	[sound:agj-pinyin-hui4.mp3]	20
子	149		zi	child	offspring, child; fruit, seed of; 1st terrestrial branch	こ み おとこ	シ ス	[sound:agj-pinyin-zi1.mp3]	63
好	150		hǎo	good	good, excellent, fine; well	このむ すく よい	コウ	[sound:agj-pinyin-hao3.mp3]	21
為	152	为	wèi	act	do, handle, govern, act; be	つくる なす ため	イ	[sound:agj-pinyin-wei4.mp3]	22
上	154		shàng	above	top; superior, highest; go up, send up	うえ かみ のぼる	ジョウ ショウ	[sound:agj-pinyin-shang4.mp3]	23
木	155		mù	tree	tree; wood, lumber; wooden	き	ボク モク	[sound:agj-pinyin-mu4.mp3]	732
來	156	来	lái	come	come, coming; return, returning	くる	ライ	[sound:agj-pinyin-lai2.mp3]	24
學	158	学	xué	study	learning, knowledge; school	まなぶ	ガク	[sound:agj-pinyin-xue2.mp3]	25
乙	160		yǐ	second	second; 2nd heavenly stem	きのと おと	オツ	[sound:agj-pinyin-yi3.mp3]	1422
尤	161		yóu	remarkable	especially, particularly	とがめる とが もっとも	ユウ	[sound:agj-pinyin-you2.mp3]	880
京	162		jīng	capital	capital city	みやこ	キョウ ケイ キン	[sound:agj-pinyin-jing1.mp3]	1339
就	163		jiù	at once	just, simply; to come, go to; to approach, near	つく	シュウ ジュ	[sound:agj-pinyin-jiu4.mp3]	26
父	164		fù	father	father; KangXi radical 88	ちち	フ ホ	[sound:agj-pinyin-fu4.mp3]	861
交	165		jiāo	mingle	mix; intersect; exchange, communicate; deliver	まじわる まじる かう	コウ キョウ	[sound:agj-pinyin-jiao1.mp3]	27
也	166		yě	also	also; classical final particle of strong affirmation or identity	なり また	ヤ	[sound:agj-pinyin-ye3.mp3]	28
用	167		yòng	utilize	use, employ, apply, operate; use	もちいる はたらき もって	ヨウ	[sound:agj-pinyin-yong4.mp3]	29
能	172		néng	ability	to be able; can, permitted to; ability	あたう よくする	ノウ ダイ	[sound:agj-pinyin-neng2.mp3]	30
如	173		rú	be like	if, supposing; as if; like, as	ごとく しく ゆく	ジョ ニョ	[sound:agj-pinyin-ru2.mp3]	31
寸	174		cùn	Chinese inch	inch; small, tiny; KangXi radical 41	はかる とき き	スン ソン	[sound:agj-pinyin-cun4.mp3]	2017
士	175		shì	soldier	scholar, gentleman; soldier	さむらい	シ ジ	[sound:agj-pinyin-shi4.mp3]	330
寺	177		sì	Buddhist temple	court, office; temple, monastery	てら	ジ シ	[sound:agj-pinyin-si4.mp3]	2283
時	178	时	shí	time	time, season; era, age, period	とき これ	ジ シ	[sound:agj-pinyin-shi2.mp3]	32
文	179		wén	literature	literature, culture, writing	ふみ あや かざる	ブン モン	[sound:agj-pinyin-wen2.mp3]	33
水	180		shuǐ	water	water, liquid, lotion, juice	みず	スイ	[sound:agj-pinyin-shui3.mp3]	204
兄	181		xiōng	elder brother	elder brother	あに え	ケイ キョウ	[sound:agj-pinyin-xiong1.mp3]	399
允	183		yǔn	consent	to grant, to allow, to consent	まこと ゆるす じょう	イン	[sound:agj-pinyin-yun3.mp3]	1947
兌	185	兑	duì	convert	cash; exchange, barter; weight	よろこぶ	ダ タイ エイ	[sound:agj-pinyin-dui4.mp3]	3325
說	186	说	shuō	speak	speak, say, talk; scold, upbraid	とく よろこぶ	セツ ゼイ エツ	[sound:agj-pinyin-shuo1.mp3]	34
沒	187	没	méi	not have	not, have not, none; to drown, sink	しずむ おわる しぬ	ボツ バイ バ	[sound:agj-pinyin-mei2.mp3]	35
它	189		tā	it	it; other	へび	タ シャ	[sound:agj-pinyin-ta1.mp3]	243
他	190		tā	he	other, another; he, she, it	ほか	タ	[sound:agj-pinyin-ta1.mp3]	36
手	192		shǒu	hand	hand	て てずから	シュ	[sound:agj-pinyin-shou3.mp3]	151
看	193		kàn	look at	look, see; examine, scrutinize	みる	カン	[sound:agj-pinyin-kan4.mp3]	37
那	194		nà	that	that, that one, those	なんぞ なに	ダ ナ	[sound:agj-pinyin-na4.mp3]	38
門	195	门	mén	gate	gate, door, entrance, opening	かど	モン ボン	[sound:agj-pinyin-men2.mp3]	400
問	196	问	wèn	ask	ask (about), inquire after	とう とん	モン ブン	[sound:agj-pinyin-wen4.mp3]	39
