一	1			yī	one	one; a, an; alone	一點 一點兒 一些	yīdiǎn yīdiǎnr yīxiē	ひとつ ひとたび はじめ	イチ イツ	[sound:agj-pinyin-yi1.mp3]	5	一	0001	ㄧ	ㄧ ㄉㄧㄢˇ  ㄧ ㄉㄧㄢˇㄦ˙  ㄧ ㄒㄧㄝ 
勺	2			sháo	ladle	spoon, ladle; unit of volume			しゃく	シャク	[sound:agj-pinyin-shao2.mp3]	4643	心戈	0065	ㄕㄠˊ	
口	3			kǒu	mouth	mouth; open end; entrance, gate	十字路口 門口 路口	shízìlùkǒu ménkǒu lùkǒu	くち	コウ ク	[sound:agj-pinyin-kou3.mp3]	404	口	0011	ㄎㄡˇ	ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄇㄣˊㄎㄡˇ  ㄌㄨ`ㄎㄡˇ
日	4			rì	day	sun; day; daytime	日本 生日 星期日	Rìběn shēngrì Xīngqīrì	ひ か ひび	ニチ ジツ	[sound:agj-pinyin-ri4.mp3]	124	日	0012	ㄖ`	ㄖ`ㄅㄣˇ  ㄕㄥ ㄖ`  ㄒㄧㄥ ㄑㄧ ㄖ`
白	5			bái	white	white; pure, unblemished; bright	白色 白白 白菜	báisè báibái báicài	しろ しろい もうす	ハク ビャク	[sound:agj-pinyin-bai2.mp3]	358	竹日	0033	ㄅㄞˊ	ㄅㄞˊㄙㄜ`  ㄅㄞˊㄅㄞˊ  ㄅㄞˊㄘㄞ`
的	6			de	bull's eye	possessive, adjectival suffix	別的 的話 目的	biéde dehuà mùdì	まと あきらか	テキ	[sound:agj-pinyin-de1.mp3]	1	竹日心戈	0066	ㄉㄜ˙	ㄅㄧㄝˊㄉㄜ˙  ㄉㄜ˙ㄏㄨㄚ`  ㄇㄨ`ㄉㄧ`
止	7			zhǐ	stop	stop, halt, desist; detain	不止 防止 截止	bùzhǐ fángzhǐ jiézhǐ	とまる あし とめる	シ	[sound:agj-pinyin-zhi3.mp3]	765	卜中一	0353	ㄓˇ	ㄅㄨ`ㄓˇ  ㄈㄤˊㄓˇ  ㄐㄧㄝˊㄓˇ
正	8			zhèng	correct	right, proper, correct	正在 真正 正常	zhèngzài zhēnzhèng zhèngcháng	ただしい まさ ただす	セイ ショウ	[sound:agj-pinyin-zheng4.mp3]	125	一卜中一	0362	ㄓㄥ`	ㄓㄥ`ㄗㄞ`  ㄓㄣ ㄓㄥ`  ㄓㄥ`ㄔㄤˊ
是	9			shì	be	indeed, yes, right; to be; demonstrative pronoun, this, that	可是 還是 總是	kěshì háishi zǒngshì	これ この ここ	ゼ シ	[sound:agj-pinyin-shi4.mp3]	2	日一卜人	0368	ㄕ`	ㄎㄜˇㄕ`  ㄏㄞˊㄕ˙  ㄗㄨㄥˇㄕ`
卜	10			bǔ	divination	fortune telling; prophesy			うらなう うらない	ボク	[sound:agj-pinyin-bu3.mp3]	2199	卜	0042	bǔ	
不	11			bù	no	no, not; un-; negative prefix	對不起 不錯 不客氣	duìbuqǐ bùcuò bùkèqi	せず にあらず いなや	フ ブ フツ ヒ	[sound:agj-pinyin-bu4.mp3]	3	一火	0924	ㄅㄨ`	ㄉㄨㄟ`ㄅㄨ˙ㄑㄧˇ  ㄅㄨ`ㄘㄨㄛ`  ㄅㄨ`ㄎㄜ`ㄑㄧ˙
二	12			èr	two	two; twice			ふたつ ふたたび	ニ ジ	[sound:agj-pinyin-er4.mp3]	133	一一	0002	ㄦ`	
戈	13			gē	halberd	halberd, spear, lance; rad. 62			ほこ	カ	[sound:agj-pinyin-ge1.mp3]	2382	戈	0335	ㄍㄜ	
手	14			shǒu	hand	hand	手機 洗手間 手指	shǒujī xǐshǒujiān shǒuzhǐ	て てずから	シュ	[sound:agj-pinyin-shou3.mp3]	151	手	0548	ㄕㄡˇ	ㄕㄡˇㄐㄧ   ㄒㄧˇㄕㄡˇㄐㄧㄢ   ㄕㄡˇㄓˇ
我	15			wǒ	I	our, us, i, me, my, we	我們 自我	wǒmen zìwǒ	われ わ	ガ	[sound:agj-pinyin-wo3.mp3]	4	竹手戈	0551	ㄨㄛˇ	ㄨㄛˇㄇㄣ˙  ㄗ`ㄨㄛˇ
十	16			shí	ten	ten, tenth; complete; perfect	十字路口 十分 十足	shízìlùkǒu shífēn shízú	とう とたび	ジュウ ジツ	[sound:agj-pinyin-shi2.mp3]	163	十	0010	ㄕˊ	ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄕˊㄈㄣ   ㄕˊㄗㄨˊ
人	17			rén	person	man; people; mankind; someone else	家人 工人 別人	jiārén gōngrén biéren	ひと	ジン ニン	[sound:agj-pinyin-ren2.mp3]	9	人	0736	ㄖㄣˊ	ㄐㄧㄚ ㄖㄣˊ  ㄍㄨㄥ ㄖㄣˊ  ㄅㄧㄝˊㄖㄣ˙
又	18			yòu	again	and, also, again, in addition			また	ユウ	[sound:agj-pinyin-you4.mp3]	139	弓大	0589	ㄧㄡ`	
月	19			yuè	month	moon; month; KangXi radical 74	月亮 月餅 月份	yuèliang yuèbǐng yuèfèn	つき	ゲツ ガツ	[sound:agj-pinyin-yue4.mp3]	214	月	0013	ㄩㄝ`	ㄩㄝ`ㄌㄧㄤ˙  ㄩㄝ`ㄅㄧㄥˇ  ㄩㄝ`ㄈㄣ`
肉	20			ròu	meat	flesh; meat; KangXi radical 130	肌肉 烤肉 肉麻	jīròu kǎoròu ròumá	しし	ニク ジュウ	[sound:agj-pinyin-rou4.mp3]	900	人月人	0782	ㄖㄡ`	ㄐㄧ ㄖㄡ`  ㄎㄠˇㄖㄡ`  ㄖㄡ`ㄇㄚˊ
有	21			yǒu	possess	have, own, possess; exist	有趣 有時候 有用	yǒuqù yǒushíhou yǒuyòng	ある もつ たもつ	ユウ ウ	[sound:agj-pinyin-you3.mp3]	6	大月	0075	ㄧㄡˇ	ㄧㄡˇㄑㄩ`  ㄧㄡˇㄕˊㄏㄡ˙  ㄧㄡˇㄩㄥ`
大	22			dà	large	big, great, vast, large, high	大學 大家 大人	Dàxué dàjiā dàren	おおきい はじめ おおいに	タイ ダイ タ	[sound:agj-pinyin-da4.mp3]	7	大	0106	ㄉㄚ`	ㄉㄚ`ㄒㄩㄝˊ  ㄉㄚ`ㄐㄧㄚ   ㄉㄚ`ㄖㄣ˙
